subject,proportion,k,rSquare,adjRSquare,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
stateless4j,3%,0.803675977,0.841375969,0.841296578,0.561782,696,391,61,864,8.7644
stateless4j,4%,0.879931153,0.898848908,0.898798282,0.561782,696,391,61,864,8.7644
stateless4j,5%,0.871103541,0.8946176,0.894564856,0.561782,696,391,61,864,8.7644
jumblr,1%,0.759012046,0.786521676,0.78641483,0.516047,1184,611,103,1494,8.6993
jumblr,2%,0.863528116,0.877401147,0.877339786,0.516047,1184,611,103,1494,8.6993
jumblr,3%,0.888260712,0.897679495,0.897628283,0.516047,1184,611,103,1494,8.6993
jumblr,4%,0.911568801,0.929998421,0.929963386,0.516047,1184,611,103,1494,8.6993
jumblr,5%,0.933415605,0.936303759,0.936271879,0.516047,1184,611,103,1494,8.6993
kryo-serializers,1%,0.83871803,0.842869887,0.842791243,0.627602,1297,814,154,1564,11.8736
kryo-serializers,2%,0.905897528,0.903474286,0.903425975,0.627602,1297,814,154,1564,11.8736
kryo-serializers,3%,0.929818104,0.925594026,0.925556785,0.627602,1297,814,154,1564,11.8736
kryo-serializers,4%,0.955826916,0.951166059,0.951141617,0.627602,1297,814,154,1564,11.8736
kryo-serializers,5%,0.949502515,0.959241249,0.95922085,0.627602,1297,814,154,1564,11.8736
kafka-spout,1%,0.648706696,0.633294146,0.63311061,0.820755,424,348,51,477,12.0283
kafka-spout,2%,0.772742252,0.768569635,0.768453804,0.820755,424,348,51,477,12.0283
kafka-spout,3%,0.811001395,0.82402911,0.823941036,0.820755,424,348,51,477,12.0283
kafka-spout,4%,0.89857497,0.881949223,0.881890139,0.820755,424,348,51,477,12.0283
kafka-spout,5%,0.902959224,0.912882353,0.91283875,0.820755,424,348,51,477,12.0283
computoser,1%,0.91249653,0.878438078,0.878377236,0.049949,14615,730,12,11626,0.0821
computoser,2%,0.95561871,0.933706923,0.933673744,0.049949,14615,730,12,11626,0.0821
computoser,3%,0.964882701,0.969799907,0.969784792,0.049949,14615,730,12,11626,0.0821
computoser,4%,0.974733574,0.96969217,0.969677001,0.049949,14615,730,12,11626,0.0821
computoser,5%,0.996455902,0.978361602,0.978350772,0.049949,14615,730,12,11626,0.0821
jsemver,1%,0.841380953,0.831881729,0.831797586,0.833623,1725,1438,202,1441,11.7101
jsemver,2%,0.883229643,0.909580753,0.909535498,0.833623,1725,1438,202,1441,11.7101
jsemver,3%,0.88284257,0.920616028,0.920576296,0.833623,1725,1438,202,1441,11.7101
jsemver,4%,0.943962183,0.951897079,0.951873003,0.833623,1725,1438,202,1441,11.7101
jsemver,5%,0.979351521,0.961133983,0.96111453,0.833623,1725,1438,202,1441,11.7101
ashot,1%,0.728857378,0.73484165,0.734708938,0.574189,1294,743,42,1247,3.2457
ashot,2%,0.842179845,0.85297244,0.852898853,0.574189,1294,743,42,1247,3.2457
ashot,3%,0.890808351,0.887628233,0.887571991,0.574189,1294,743,42,1247,3.2457
ashot,4%,0.858436675,0.877181972,0.877120502,0.574189,1294,743,42,1247,3.2457
ashot,5%,0.913018579,0.940472793,0.940442999,0.574189,1294,743,42,1247,3.2457
LastCalc,1%,0.90062159,0.904951909,0.904904338,0.391409,6635,2597,34,4594,0.5124
LastCalc,2%,0.962735303,0.946625729,0.946599015,0.391409,6635,2597,34,4594,0.5124
LastCalc,3%,0.977516394,0.971001797,0.970987284,0.391409,6635,2597,34,4594,0.5124
LastCalc,4%,0.975218073,0.9742736,0.974260724,0.391409,6635,2597,34,4594,0.5124
