subject,rSquare,proportion,mutationScore, mutTotal, mutKilled, testMethodNum,SLOC,testPer100Mut
spring-retry,0.947024284,3%,0.611063,2296,1403,185,2716,8.0575
spring-retry,0.958691914,4%,0.611063,2296,1403,185,2716,8.0575
spring-retry,0.970544773,5%,0.611063,2296,1403,185,2716,8.0575
jprotobuf,0.890018117,1%,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.941167545,2%,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.946273861,3%,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.964010516,4%,0.337189,4496,1516,49,3015,1.0899
jprotobuf,0.973174837,5%,0.337189,4496,1516,49,3015,1.0899
jmxutils,0.836210105,1%,0.564184,1893,1068,754,2284,39.831
jmxutils,0.942034871,2%,0.564184,1893,1068,754,2284,39.831
jmxutils,0.949849394,3%,0.564184,1893,1068,754,2284,39.831
jmxutils,0.967613975,4%,0.564184,1893,1068,754,2284,39.831
jmxutils,0.967810352,5%,0.564184,1893,1068,754,2284,39.831
JActor,0.447614494,1%,0.095861,1377,132,60,2413,4.3573
JActor,0.614582924,2%,0.095861,1377,132,60,2413,4.3573
JActor,0.633008523,3%,0.095861,1377,132,60,2413,4.3573
JActor,0.647835691,4%,0.095861,1377,132,60,2413,4.3573
JActor,0.70445183,5%,0.095861,1377,132,60,2413,4.3573
brickhouse,0.750566995,1%,0.049623,9411,467,30,8831,0.3188
