name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
wsc,0.573598523,2,0.090742172,10348,939,17,13016,0.164282953,35.772,-2.399733064,9.244548543,6.844815479,2.833213344,9.473934649,-1.806165013,3.577165464,-11.02023429,-9.66E-05,-0.001064963,-0.058823529,-7.68E-05,-6.087058824,-0.027954825
sonar-objective-c,0.537661244,2,0.162857143,350,57,32,1441,9.142857143,35.824,-1.814881887,5.857933154,4.043051268,3.465735903,7.273092596,2.212972934,3.57861806,-6.140350877,-0.002857143,-0.01754386,-0.03125,-0.000693963,-0.109375,-0.027914247
Confucius,0.984091199,2,0.84057971,138,116,85,503,61.5942029,40.429,-0.173663494,4.927253685,4.753590191,4.442651256,6.22059017,4.120567757,3.699547349,-1.189655172,-0.007246377,-0.00862069,-0.011764706,-0.001988072,-0.016235294,-0.02473472
JActor,0.388976099,2,0.394174757,515,203,61,2413,11.84466019,40.547,-0.930960922,6.244166901,5.313205979,4.110873864,7.788626066,2.47187715,3.702461795,-2.536945813,-0.001941748,-0.004926108,-0.016393443,-0.000414422,-0.08442623,-0.024662737
protoparser,0.412271154,2,0.504075235,1595,804,167,2115,10.47021944,68.343,-0.685029746,7.374629015,6.689599269,5.117993812,7.656810091,2.348534983,4.224539144,-1.983830846,-0.000626959,-0.001243781,-0.005988024,-0.000472813,-0.095508982,-0.014632076
multi-thread-context,0.61673426,2,0.239361702,188,45,32,580,17.0212766,91.4615,-1.429779473,5.236441963,3.80666249,3.465735903,6.363028104,2.834464126,4.515918119,-4.177777778,-0.005319149,-0.022222222,-0.03125,-0.001724138,-0.05875,-0.010933562
mimecraft,0.863334498,2,0.708333333,120,85,15,394,12.5,92.962,-0.344840486,4.787491743,4.442651256,2.708050201,5.976350909,2.525728644,4.532190808,-1.411764706,-0.008333333,-0.011764706,-0.066666667,-0.002538071,-0.08,-0.010757084
stateless4j,0.277840811,2,0.454954955,222,101,62,864,27.92792793,63.2415,-0.787556865,5.402677382,4.615120517,4.127134385,6.761572769,3.329627189,4.146960731,-2.198019802,-0.004504505,-0.00990099,-0.016129032,-0.001157407,-0.035806452,-0.015812402
jumblr,0.988601241,2,0.447949527,317,142,104,1494,32.80757098,64.472,-0.803074716,5.758901774,4.955827058,4.644390899,7.309212366,3.490659311,4.166231021,-2.232394366,-0.003154574,-0.007042254,-0.009615385,-0.000669344,-0.030480769,-0.015510609
exp4j,0.358373943,2,0.840191388,1045,878,286,1086,27.36842105,39.254,-0.174125571,6.951772164,6.777646594,5.655991811,6.9902565,3.309389832,3.67005335,-1.190205011,-0.000956938,-0.001138952,-0.003496503,-0.00092081,-0.036538462,-0.025475111
linq4j,0.463476974,2,0.32454733,4363,1416,222,14307,5.088242035,15.6825,-1.125323899,8.380915173,7.255591274,5.402677382,9.568504207,1.626932395,2.752545441,-3.081214689,-0.0002292,-0.000706215,-0.004504505,-6.99E-05,-0.196531532,-0.063765344
jPopulator,0.482459695,2,0.593147752,467,277,70,969,14.98929336,15.543,-0.522311751,6.146329258,5.624017506,4.248495242,6.876264612,2.70733617,2.743610377,-1.685920578,-0.002141328,-0.003610108,-0.014285714,-0.001031992,-0.066714286,-0.064337644
java-jwt,0.749870794,2,0.797468354,158,126,79,422,50,29.418,-0.226313126,5.062595033,4.836281907,4.369447852,6.045005314,3.912023005,3.381606732,-1.253968254,-0.006329114,-0.007936508,-0.012658228,-0.002369668,-0.02,-0.033992794
spring-retry,0.906971965,2,0.552657974,997,551,186,2716,18.6559679,30.6145,-0.593015961,6.90475077,6.311734809,5.225746674,7.906915489,2.92616609,3.421473753,-1.809437387,-0.001003009,-0.001814882,-0.005376344,-0.000368189,-0.053602151,-0.03266426
webbit,0.678815806,2,0.379672407,2381,904,127,4914,5.333893322,21.2555,-0.968446486,7.775275846,6.80682936,4.844187086,8.499843553,1.674081426,3.056615685,-2.633849558,-0.000419992,-0.001106195,-0.007874016,-0.0002035,-0.187480315,-0.047046647
brickhouse,0.397607397,2,0.042988314,4792,206,30,8831,0.626043406,12.6585,-3.146826971,8.47470314,5.327876169,3.401197382,9.086023537,-0.468335572,2.538328926,-23.26213592,-0.000208681,-0.004854369,-0.033333333,-0.000113237,-1.597333333,-0.078998302
jmeter-maven-plugin,0.807873144,2,0.348088531,497,173,58,1297,11.67002012,12.9975,-1.055298432,6.208590026,5.153291595,4.060443011,7.167809184,2.45702317,2.564757031,-2.87283237,-0.002012072,-0.005780347,-0.017241379,-0.00077101,-0.085689655,-0.076937873
HTTP-Proxy-Servlet,0.899164291,2,0.52173913,253,132,25,493,9.881422925,28.4015,-0.650587566,5.533389489,4.882801923,3.218875825,6.200509174,2.290656522,3.346441961,-1.916666667,-0.003952569,-0.007575758,-0.04,-0.002028398,-0.1012,-0.035209408
geohash-java,0.69641828,2,0.760338346,2128,1618,57,920,2.678571429,28.477,-0.273991753,7.66293785,7.388946098,4.043051268,6.82437367,0.985283603,3.349096744,-1.315203956,-0.000469925,-0.000618047,-0.01754386,-0.001086957,-0.373333333,-0.035116059
